"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"Homo Sapiens",0.13,"Africa","oriental","Kenya","savannah",1356.05,168.23,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Georgicus",2.41,"Asia ","west","Georgia","savannah",816.26,148.04,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.27,"Africa","oriental","Kenya","forest-gallery",248.16,112.97,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"hominino Orrorin tugenencin",5.86,"Africa","oriental","Kenya","forest",169.37,120.78,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Ergaster",1.42,"Africa","oriental","Kenya","savannah",738.03,161.41,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Sediba",1.6,"Africa","south","South Africa","mixed",255.3,111.05,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"hominino Sahelanthropus tchadensis",7.1,"Africa","central","Republic of Chad","mixed",31.26,82.23,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Georgicus",1.79,"Asia ","west","Georgia","savannah",676.49,155.44,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Paranthropus Robustus",1.65,"Africa","south","South Africa","jungle",383.88,121.58,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Neanderthalensis
",0.18,"Europa","central","Germany","cold forest",1009.12,162.28,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Naledi",0.62,"Africa","south","South Africa","jungle",419.95,133.05,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Bahrelghazali",3.94,"Africa","central","Republic of Chad","mixed",282.02,117.75,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Paranthropus Aethiopicus",2.67,"Africa","oriental","Kenya","forest-savanna",457.01,119.13,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Ardipithecus ramidus / kabadda",4.39,"Africa","oriental","Ethiopia","mixed",443.86,102.56,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Habilis",2.28,"Africa","oriental","Ethiopia","savannah",647.37,136.18,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Australopithecus Africanus",3.72,"Africa","south","South Africa","forest-gallery",470.54,116.48,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Floresiensis",0.69,"Asia ","oriental","Indonesia","peninsular",172,100.8,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Ardipithecus ramidus / kabadda",4.53,"Africa","oriental","Ethiopia","mixed",368.59,108.45,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Neanderthalensis
",0.27,"Europa","central","Germany","cold forest",1014.99,151.29,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Naledi",0.44,"Africa","south","South Africa","jungle",225.65,136.18,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Rudolfensis",2.43,"Africa","oriental","Kenya","savannah",655.68,135.15,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Antecesor",1.38,"Europa","west","Spain","savannah",1129.89,164.58,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Australopithecus Garhi",2.89,"Africa","oriental","Ethiopia","mixed",469.62,116.8,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Paranthropus Robustus",1.74,"Africa","south","South Africa","jungle",351.52,124.76,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Naledi",0.7,"Africa","south","South Africa","jungle",372.54,130.64,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Paranthropus Robustus",1.7,"Africa","south","South Africa","jungle",493.21,123.11,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Heidelbergensis",0.22,"Europa","central","Germany","cold forest",1276.08,170.39,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Paranthropus Aethiopicus",3.11,"Africa","oriental","Kenya","forest-savanna",487.21,101.02,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Garhi",2.73,"Africa","oriental","Ethiopia","mixed",312.01,115.76,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Australopithecus Afarensis",4.08,"Africa","oriental","Kenya","mixed",355.44,127.77,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Paranthropus Robustus",1.81,"Africa","south","South Africa","jungle",441,115.58,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Georgicus",1.86,"Asia ","west","Georgia","savannah",578.86,148.03,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Naledi",0.56,"Africa","south","South Africa","jungle",262.27,126.64,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Habilis",2.95,"Africa","oriental","Ethiopia","savannah",833.44,125.21,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"hominino Orrorin tugenencin",6.21,"Africa","oriental","Kenya","forest",12.52,121.78,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Anamensis",4.29,"Africa","oriental","Kenya","forest-gallery",320.45,125.42,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Ergaster",1.49,"Africa","oriental","Kenya","savannah",725.58,153.53,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Floresiensis",0.34,"Asia ","oriental","Indonesia","peninsular",173.1,109.29,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Paranthropus Boisei",2.25,"Africa","oriental","Ethiopia","forest",429.51,101.89,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Sediba",2.17,"Africa","south","South Africa","mixed",411.12,108.01,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Naledi",0.12,"Africa","south","South Africa","jungle",368.37,135.25,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Garhi",3.18,"Africa","oriental","Ethiopia","mixed",350.37,114.61,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Australopithecus Bahrelghazali",3.51,"Africa","central","Republic of Chad","mixed",324.21,117.27,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Australopithecus Bahrelghazali",3.6,"Africa","central","Republic of Chad","mixed",257.51,121.96,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Ergaster",1.8,"Africa","oriental","Kenya","savannah",776.32,158.1,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Floresiensis",0.8,"Asia ","oriental","Indonesia","peninsular",411.5,105.51,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Neanderthalensis
",0.54,"Europa","central","Germany","cold forest",1219.86,168.39,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Paranthropus Aethiopicus",2.48,"Africa","oriental","Kenya","forest-savanna",477.58,118.53,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Orrorin tugenencin",5.86,"Africa","oriental","Kenya","forest",24.33,126.29,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Neanderthalensis
",0.86,"Europa","central","Germany","cold forest",1018.87,151.51,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Garhi",2.93,"Africa","oriental","Ethiopia","mixed",305.53,118.38,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Australopithecus Africanus",3.38,"Africa","south","South Africa","forest-gallery",581.94,105.98,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"hominino Orrorin tugenencin",5.89,"Africa","oriental","Kenya","forest",239.69,121.51,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Afarensis",3.79,"Africa","oriental","Kenya","mixed",205.06,136.03,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Australopithecus Africanus",3.86,"Africa","south","South Africa","forest-gallery",509.61,119.73,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"hominino Ardipithecus ramidus / kabadda",4.18,"Africa","oriental","Ethiopia","mixed",272.94,109.93,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Sediba",1.89,"Africa","south","South Africa","mixed",516.74,113.74,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Georgicus",2.08,"Asia ","west","Georgia","savannah",738.95,149.23,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Afarensis",4.37,"Africa","oriental","Kenya","mixed",347.91,121.03,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Heidelbergensis",0.23,"Europa","central","Germany","cold forest",1337.89,170.66,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Neanderthalensis
",0.08,"Europa","central","Germany","cold forest",1064.55,161.82,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"hominino Ardipithecus ramidus / kabadda",4.18,"Africa","oriental","Ethiopia","mixed",371.15,112.52,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Antecesor",1.49,"Europa","west","Spain","savannah",1089.71,163.89,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Paranthropus Boisei",2.84,"Africa","oriental","Ethiopia","forest",530.23,106.58,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Naledi",0.34,"Africa","south","South Africa","jungle",335.67,122.1,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Heidelbergensis",1.07,"Europa","central","Germany","cold forest",1268.07,178.86,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Heidelbergensis",0.63,"Europa","central","Germany","cold forest",1439.46,172.99,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Africanus",3.91,"Africa","south","South Africa","forest-gallery",625.54,110.91,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Ergaster",1.21,"Africa","oriental","Kenya","savannah",911.12,154.53,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Africanus",4.19,"Africa","south","South Africa","forest-gallery",677.84,107.95,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Heidelbergensis",1.1,"Europa","central","Germany","cold forest",1175.56,172.11,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Paranthropus Aethiopicus",3.11,"Africa","oriental","Kenya","forest-savanna",383.36,102.89,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Paranthropus Robustus",1.6,"Africa","south","South Africa","jungle",465.78,129.49,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Ergaster",2.18,"Africa","oriental","Kenya","savannah",917.29,162.95,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Garhi",2.57,"Africa","oriental","Ethiopia","mixed",238.19,122.01,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Paranthropus Robustus",2.07,"Africa","south","South Africa","jungle",483.45,129.84,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Georgicus",2.18,"Asia ","west","Georgia","savannah",633.9,142.7,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Garhi",3.16,"Africa","oriental","Ethiopia","mixed",421.39,113.87,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Paranthropus Robustus",1.84,"Africa","south","South Africa","jungle",407.55,116.85,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Sapiens",0.44,"Africa","oriental","Kenya","savannah",1081.53,174.77,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Australopithecus Garhi",2.46,"Africa","oriental","Ethiopia","mixed",501.43,123.21,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Antecesor",0.7,"Europa","west","Spain","savannah",957.87,164.03,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Neanderthalensis
",0.61,"Europa","central","Germany","cold forest",1137.17,167.4,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Habilis",2.43,"Africa","oriental","Ethiopia","savannah",779.74,122.99,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Antecesor",1.58,"Europa","west","Spain","savannah",885.83,174.05,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Georgicus",2.49,"Asia ","west","Georgia","savannah",602.55,152.72,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Sapiens",0.37,"Africa","oriental","Kenya","savannah",1109.41,177.34,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Erectus",1.19,"Asia ","west","Indonesia","savannah",1134.56,163.47,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"hominino Sahelanthropus tchadensis",7.33,"Africa","central","Republic of Chad","mixed",219.59,83.84,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Rodhesiensis",1.15,"Africa","oriental","Ethiopia","savannah",1210.16,155.07,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Naledi",0.26,"Africa","south","South Africa","jungle",292.49,126.97,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Paranthropus Boisei",2.78,"Africa","oriental","Ethiopia","forest",477.04,112.24,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Ergaster",1.76,"Africa","oriental","Kenya","savannah",966.05,151.45,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Ergaster",1.49,"Africa","oriental","Kenya","savannah",755.59,156.07,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Africanus",4.07,"Africa","south","South Africa","forest-gallery",655.58,114.42,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"hominino Orrorin tugenencin",6.18,"Africa","oriental","Kenya","forest",78.1,110.16,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Antecesor",1.04,"Europa","west","Spain","savannah",963.12,165.13,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"hominino Sahelanthropus tchadensis",6.71,"Africa","central","Republic of Chad","mixed",205.09,93.97,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"hominino Ardipithecus ramidus / kabadda",3.87,"Africa","oriental","Ethiopia","mixed",353.73,107.02,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Paranthropus Robustus",2.35,"Africa","south","South Africa","jungle",625.9,123.58,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Garhi",3.06,"Africa","oriental","Ethiopia","mixed",424.51,122.69,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Neanderthalensis
",0.56,"Europa","central","Germany","cold forest",974.12,168.42,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Heidelbergensis",0.36,"Europa","central","Germany","cold forest",1360.33,177.85,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Sapiens",0.12,"Africa","oriental","Kenya","savannah",1204.7,164.37,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Paranthropus Boisei",2.41,"Africa","oriental","Ethiopia","forest",588.44,113.53,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rudolfensis",2.4,"Africa","oriental","Kenya","savannah",592.32,124.91,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Bahrelghazali",4.18,"Africa","central","Republic of Chad","mixed",410.44,111.72,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Paranthropus Aethiopicus",2.59,"Africa","oriental","Kenya","forest-savanna",361.19,110.1,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Neanderthalensis
",0.39,"Europa","central","Germany","cold forest",1166.41,165.42,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"hominino Orrorin tugenencin",6.59,"Africa","oriental","Kenya","forest",236.08,129.48,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Bahrelghazali",3.3,"Africa","central","Republic of Chad","mixed",214.22,121.65,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Australopithecus Anamensis",4.6,"Africa","oriental","Kenya","forest-gallery",285.76,116.42,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Rudolfensis",2.45,"Africa","oriental","Kenya","savannah",708.31,136.48,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"hominino Sahelanthropus tchadensis",7.09,"Africa","central","Republic of Chad","mixed",77.45,82.34,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Anamensis",4.22,"Africa","oriental","Kenya","forest-gallery",247.4,112.99,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Habilis",2.69,"Africa","oriental","Ethiopia","savannah",641.36,124.48,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Paranthropus Robustus",1.78,"Africa","south","South Africa","jungle",624.48,126.12,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rudolfensis",3.16,"Africa","oriental","Kenya","savannah",786.53,138.82,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Paranthropus Boisei",2.73,"Africa","oriental","Ethiopia","forest",507.75,102.93,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Heidelbergensis",0.81,"Europa","central","Germany","cold forest",1436.52,178.8,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
